Site ID,Screening Flag,Location,Field Sample ID,Date Sampled,Parameter,Result,Units,Lab Qualifier,Validation Qualifier,Detect?,Matrix,Purpose,Type,Time,Program,Event,Analysis Type,Filtered,Leached,Result Type Code,Analytical Method,Start Depth,End Depth,Depth Units,Excavated Flag,Use Flag
NMED,N,18-MW-12,Mw1235403a_GENINORG,12/4/1996,Nitrate-Nitrite as Nitrogen,0.62,mg/L,,,Y,W,REG,WG,0:00,,,INIT,U,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-12,Mw1235403b_GENINORG,12/4/1996,Nitrate-Nitrite as Nitrogen,0.7,mg/L,,,Y,W,REG,WG,0:00,,,INIT,U,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw13Uf35403_GENINORG,12/4/1996,Alkalinity-HCO3,42,mg/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_HEXP,12/4/1996,"Amino-2,6-dinitrotoluene[4-]",0.25,ug/L,U,,N,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_HEXP,12/4/1996,"Amino-4,6-dinitrotoluene[2-]",0.25,ug/L,U,,N,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw13Uf35403_GENINORG,12/4/1996,Ammonia,0.2,mg/L,U,,N,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_METALS,12/4/1996,Arsenic,20,ug/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_METALS,12/4/1996,Barium,700,ug/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_METALS,12/4/1996,Beryllium,5,ug/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw13Uf35403_GENINORG,12/4/1996,Calcium,29,mg/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw13Uf35403_GENINORG,12/4/1996,Chloride,11,mg/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_METALS,12/4/1996,Chromium,30,ug/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_HEXP,12/4/1996,"Dinitrotoluene[2,4-]",0.25,ug/L,U,,N,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_HEXP,12/4/1996,"Dinitrotoluene[2,6-]",0.25,ug/L,U,,N,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw13Uf35403_GENINORG,12/4/1996,Fluoride,0.2,mg/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW1335403_RAD,12/4/1996,Gross alpha,1.5,pCi/L,U,,N,W,REG,WG,0:00,,,INIT,Y,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW1335403_RAD,12/4/1996,Gross beta,2.5,pCi/L,,,Y,W,REG,WG,0:00,,,INIT,Y,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_HEXP,12/4/1996,HMX,1,ug/L,U,,N,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_METALS,12/4/1996,Lead,48,ug/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw13Uf35403_GENINORG,12/4/1996,Magnesium,14,mg/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,MW13UF35403_METALS,12/4/1996,Mercury,0.2,ug/L,U,,N,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw13Uf35403_GENINORG,12/4/1996,Nitrate-Nitrite as Nitrogen,1,mg/L,,,Y,W,REG,WG,0:00,,,INIT,N,N,TRG,LEGACY,,,,N,Y
NMED,N,18-MW-13,Mw1335403_GENINORG,12/4/1996,Nitrate-Nitrite as Nitrogen,1.3,mg/L,,,Y,W,REG,WG,0:00,,,INIT,U,N,TRG,LEGACY,,,,N,Y
