FIELD_SAMPLE_ID,LAB_ID,ANALYTICAL_METHOD,ANALYSIS_DATE,PARAMETER_CODE,RESULT_TYPE_CODE,LAB_RESULT,LAB_UNITS,LAB_DETECTION_LIMIT,LAB_MATRIX,LAB_SAMPLE_ID,ANALYSIS_TIME,LAB_QUALIFIER,DILUTION_FACTOR,PREP_METHOD,PREP_DATE,ANALYSIS_LOT_ID,SAMPLE_DELIVERY_GROUP,LAB_BLANK_SAMPLE_ID,UNCERTAINTY,PARAMETER_NAME,ANALYSIS_TYPE_CODE,FILTERED_FLAG,LEACHED_FLAG,LEACHATE_METHOD,LEACHATE_DATE,LEACHATE_TIME,SAMPLE_PREP_LOT_ID,LEACHATE_LOT_ID,PREP_TIME,METHOD_DETECTION_LIMIT,MINIMUM_DETECTABLE_ACTIVITY,SAMPLE_DATE,SAMPLE_PURPOSE,ORIGINAL_LAB_RESULT,SPIKE_ADDED,SPIKED_RESULT,SPIKE_RECOVERY,RPD,RPD_LIMIT,UPPER_LIMIT,LOWER_LIMIT,LAB_RECEIPT_DATE,HARD_COPY_DUE_DATE,RUSH_TAT,LAB_REPORT_DATE,BASIS,PERCENT_MOISTURE,CHAIN_OF_CUSTODY_NO,,,,,,,,
SANI-26-377380,HEAL,EPA:300.0,10/13/2025,Br(-1),TRG,0.05,mg/L,0.1,W,885-35179-13,16:30,U,1,,,885-36482,885-35179-1,MB 885-36482/4,,Bromide,INIT,N,N,,,,885-36482,,,0.05,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377380,HEAL,EPA:300.0,10/13/2025,Cl(-1),TRG,3.8,mg/L,0.5,W,885-35179-13,16:30,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Chloride,INIT,N,N,,,,885-36482,,,0.25,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377380,HEAL,EPA:300.0,10/13/2025,F(-1),TRG,0.18,mg/L,0.1,W,885-35179-13,16:30,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Fluoride,INIT,N,N,,,,885-36482,,,0.046,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377380,HEAL,EPA:300.0,10/13/2025,SO4(-2),TRG,5,mg/L,0.5,W,885-35179-13,16:30,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Sulfate,INIT,N,N,,,,885-36482,,,0.39,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377380,HEAL,SM:A2320B,10/13/2025,ALK,TRG,61,mg/L,20,W,885-35179-13,18:19,,1,,,885-36643,885-35179-1,MB 885-36643/24,,Alkalinity,INIT,N,N,,,,885-36643,,,20,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377380,HEAL,SM:A2320B,10/13/2025,HCO3(-1),TRG,61,mg/L,20,W,885-35179-13,18:19,,1,,,885-36643,885-35179-1,MB 885-36643/24,,Bicarbonate,INIT,N,N,,,,885-36643,,,20,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377380,HEAL,SM:A2320B,10/13/2025,CO3(-2),TRG,2,mg/L,2,W,885-35179-13,18:19,U,1,,,885-36643,885-35179-1,MB 885-36643/24,,Carbonate,INIT,N,N,,,,885-36643,,,2,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377380,HEAL,SM:A2540C,10/10/2025,TDS,TRG,150,mg/L,50,W,885-35179-13,9:34,,1,,,885-36454,885-35179-1,MB 885-36454/1,,Total Dissolved Solids,INIT,N,N,,,,885-36454,,,25,,10/6/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,EPA:300.0,10/13/2025,Br(-1),TRG,0.05,mg/L,0.1,W,885-35179-3,13:40,U,1,,,885-36482,885-35179-1,MB 885-36482/4,,Bromide,INIT,N,N,,,,885-36482,,,0.05,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,EPA:300.0,10/13/2025,Cl(-1),TRG,4.6,mg/L,0.5,W,885-35179-3,13:40,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Chloride,INIT,N,N,,,,885-36482,,,0.25,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,EPA:300.0,10/13/2025,F(-1),TRG,0.17,mg/L,0.1,W,885-35179-3,13:40,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Fluoride,INIT,N,N,,,,885-36482,,,0.046,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,EPA:300.0,10/13/2025,SO4(-2),TRG,6.5,mg/L,0.5,W,885-35179-3,13:40,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Sulfate,INIT,N,N,,,,885-36482,,,0.39,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,SM:A2320B,10/13/2025,ALK,TRG,61,mg/L,20,W,885-35179-3,17:14,,1,,,885-36643,885-35179-1,MB 885-36643/2,,Alkalinity,INIT,N,N,,,,885-36643,,,20,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,SM:A2320B,10/13/2025,HCO3(-1),TRG,61,mg/L,20,W,885-35179-3,17:14,,1,,,885-36643,885-35179-1,MB 885-36643/2,,Bicarbonate,INIT,N,N,,,,885-36643,,,20,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,SM:A2320B,10/13/2025,CO3(-2),TRG,2,mg/L,2,W,885-35179-3,17:14,U,1,,,885-36643,885-35179-1,MB 885-36643/2,,Carbonate,INIT,N,N,,,,885-36643,,,2,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,HEAL,SM:A2540C,10/10/2025,TDS,TRG,150,mg/L,50,W,885-35179-3,9:34,,1,,,885-36454,885-35179-1,MB 885-36454/1,,Total Dissolved Solids,INIT,N,N,,,,885-36454,,,25,,10/3/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,EPA:300.0,10/13/2025,Br(-1),TRG,0.05,mg/L,0.1,W,885-35179-7,14:37,U,1,,,885-36482,885-35179-1,MB 885-36482/4,,Bromide,INIT,N,N,,,,885-36482,,,0.05,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,EPA:300.0,10/13/2025,Cl(-1),TRG,4.3,mg/L,0.5,W,885-35179-7,14:37,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Chloride,INIT,N,N,,,,885-36482,,,0.25,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,EPA:300.0,10/13/2025,F(-1),TRG,0.16,mg/L,0.1,W,885-35179-7,14:37,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Fluoride,INIT,N,N,,,,885-36482,,,0.046,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,EPA:300.0,10/13/2025,SO4(-2),TRG,5.9,mg/L,0.5,W,885-35179-7,14:37,,1,,,885-36482,885-35179-1,MB 885-36482/4,,Sulfate,INIT,N,N,,,,885-36482,,,0.39,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,SM:A2320B,10/13/2025,ALK,TRG,59,mg/L,20,W,885-35179-7,17:57,,1,,,885-36643,885-35179-1,MB 885-36643/24,,Alkalinity,INIT,N,N,,,,885-36643,,,20,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,SM:A2320B,10/13/2025,HCO3(-1),TRG,59,mg/L,20,W,885-35179-7,17:57,,1,,,885-36643,885-35179-1,MB 885-36643/24,,Bicarbonate,INIT,N,N,,,,885-36643,,,20,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,SM:A2320B,10/13/2025,CO3(-2),TRG,2,mg/L,2,W,885-35179-7,17:57,U,1,,,885-36643,885-35179-1,MB 885-36643/24,,Carbonate,INIT,N,N,,,,885-36643,,,2,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377374,HEAL,SM:A2540C,10/10/2025,TDS,TRG,160,mg/L,50,W,885-35179-7,9:34,,1,,,885-36454,885-35179-1,MB 885-36454/1,,Total Dissolved Solids,INIT,N,N,,,,885-36454,,,25,,10/5/2025,REG,,,,,,,,,10/9/2025,10/14/2025,N,10/16/2025,W,100,2734-08OCT25-LMW08,,,,,,,,
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,AL,TRG,68,ug/L,200,W,747002002,21:38,U,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Aluminum,INIT,N,N,,,,2878014,,7:45,68,,,10/3/2025,REG,23.8,ug/L,68,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6020B,10/14/2025,AL,TRG,19.3,ug/L,50,W,747002002,13:30,U,1,SW-846:3005A,10/10/2025,2878013,747002,1206262705,,Aluminum,INIT,N,N,,,,2878010,,8:05,19.3,,,10/3/2025,REG,10.9,ug/L,19.3,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,SB,TRG,3.5,ug/L,20,W,747002002,21:38,U,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Antimony,INIT,N,N,,,,2878014,,7:45,3.5,,,10/3/2025,REG,0.873,ug/L,3.5,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
SANI-26-377370,GELC,SW-846:6010D,10/10/2025,AS,TRG,5,ug/L,30,W,747002002,21:38,U,1,SW-846:3005A,10/10/2025,2878016,747002,1206262711,,Arsenic,INIT,N,N,,,,2878014,,7:45,5,,,10/3/2025,REG,0.178,ug/L,5,,,,,,,,10/9/2025,10/14/2025,Y,10/14/2025,N,100,,,,,2733-08OCT25-LMW08,"(D)202+201(B)+210(Al)+211(Be, Li, Se, U)"
